,ID,Area,x_center_of_gravity,y_center_of_gravity,Perimeter,Area[%]
134,135,0.0335,7395,7920,22.242640614509586,2.168101581552117e-05
135,136,0.078,7390,7894,52.82842707633972,5.048117115255676e-05
136,137,0.068,7400,7867,31.656854152679443,4.4009226132998196e-05
137,138,0.0905,7396,7839,41.0710676908493,5.8571102427004946e-05
138,139,0.0955,7396,7819,47.89949476718903,6.180707493678424e-05
139,140,0.02,7393,7805,18.0,1.2943890039117117e-05
140,141,0.02,7399,7787,18.0,1.2943890039117117e-05
141,142,0.02,7393,7727,18.0,1.2943890039117117e-05
142,143,0.0845,7395,7707,37.5563485622406,5.468793541526982e-05
143,144,0.08,7398,7645,38.485280990600586,5.177556015646847e-05
144,145,0.057999999999999996,7396,7623,31.656854152679443,3.753728111343963e-05
145,146,0.004,7396,7615,8.0,2.5887780078234232e-06
146,147,0.004,7393,7603,8.0,2.5887780078234232e-06
147,148,0.02,7399,7589,18.0,1.2943890039117117e-05
148,149,0.004,7393,7588,8.0,2.5887780078234232e-06
149,150,0.047,7391,7574,25.656854152679443,3.0418141591925226e-05
150,151,0.02,7405,7559,18.0,1.2943890039117117e-05
151,152,0.073,7404,7545,46.48528122901917,4.724519864277747e-05
152,153,0.092,7405,7520,54.0,5.9541894179938736e-05
153,154,0.256,7399,7486,98.7695517539978,0.00016568179250069909
154,155,0.004,7405,7462,8.0,2.5887780078234232e-06
155,156,0.054000000000000006,7397,7462,40.828427076339715,3.4948503105616214e-05
156,157,0.032,7405,7453,24.0,2.0710224062587386e-05
157,158,0.02,7405,7436,18.0,1.2943890039117117e-05
158,159,0.0575,7396,7421,29.07106757164001,3.7213683862461706e-05
159,160,0.004,7405,7411,8.0,2.5887780078234232e-06
160,161,0.233,7398,7388,81.11269748210906,0.0001507963189557144
161,162,0.032,7402,7360,24.0,2.0710224062587386e-05
162,163,0.004,7396,7333,8.0,2.5887780078234232e-06
163,164,0.131,7397,7265,49.656854152679436,8.478247975621711e-05
164,165,0.0955,7393,7225,56.72792172431946,6.180707493678424e-05
165,166,0.02,7393,7208,18.0,1.2943890039117117e-05
166,167,0.004,7402,7162,8.0,2.5887780078234232e-06
167,168,0.004,2707,6835,8.0,2.5887780078234232e-06
168,169,0.02,2707,6815,18.0,1.2943890039117117e-05
169,170,0.044000000000000004,2707,6704,30.0,2.8476558086057656e-05
170,171,0.055999999999999994,2707,6685,36.0,3.624289210952792e-05
171,172,0.004,2707,6586,8.0,2.5887780078234232e-06
172,173,0.004,2707,6574,8.0,2.5887780078234232e-06
173,174,0.004,2707,6568,8.0,2.5887780078234232e-06
174,175,0.02,2707,6218,18.0,1.2943890039117117e-05
175,176,0.004,2704,5971,8.0,2.5887780078234232e-06
176,177,0.02,2707,5462,18.0,1.2943890039117117e-05
177,178,97.5875,2707,7841,7884.69759619236,0.06315809345961708
178,179,0.16399999999999998,2713,5321,90.0,0.00010613989832076034
179,180,0.068,2713,5279,42.0,4.4009226132998196e-05
180,181,0.0335,2712,5260,22.242640614509586,2.168101581552117e-05
181,182,0.02,2725,5240,18.0,1.2943890039117117e-05
182,183,0.5479999999999999,2713,5183,282.0,0.0003546625870718089
183,184,0.004,2704,4747,8.0,2.5887780078234232e-06
184,185,0.004,2704,4648,8.0,2.5887780078234232e-06
185,186,0.02,2704,4637,18.0,1.2943890039117117e-05
186,187,0.032,2704,4624,24.0,2.0710224062587386e-05
187,188,0.10400000000000001,2704,4597,60.0,6.730822820340901e-05
188,189,0.02,2710,4235,18.0,1.2943890039117117e-05
189,190,0.0335,2719,3399,22.242640614509586,2.168101581552117e-05
190,191,154324.229,7418,5216,104081.4891988039,99.87779252737643
